MD,Match_ID,Player,Squad,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
3,37,Aleksandr Golovin,Monaco,10.0,ru RUS,LW,28-145,45,0,0,0,0,3,0,0,0,43,2,0,0,0.1,0.1,0.1,4,0,30,35,85.7,2,21,0,1,1,0,1,0,0,3,1,0,0,0,5,0,1,0.0
3,37,Breel Embolo,Monaco,36.0,ch SUI,FW,27-251,76,1,1,0,0,4,2,0,0,30,0,0,0,0.8,0.8,0.5,4,2,15,20,75.0,2,10,2,1,0,0,3,1,0,1,0,0,0,0,2,5,1,83.3
3,37,Caio Henrique Oliveira Silva,Monaco,12.0,br BRA,LB,27-083,76,0,0,0,0,1,1,0,0,58,4,0,0,0.2,0.2,0.7,4,0,40,51,78.4,1,25,0,0,0,0,0,0,1,5,3,0,0,0,1,0,0,
3,37,Denis Zakaria,Monaco,6.0,ch SUI,DM,27-337,86,0,0,0,0,2,0,0,0,65,2,3,0,0.1,0.1,0.0,2,0,50,53,94.3,10,40,0,1,0,0,1,0,0,0,1,0,0,0,5,1,0,100.0
3,37,Eliesse Ben Seghir,Monaco,7.0,ma MAR,LW,19-249,45,0,0,0,0,1,0,0,0,24,1,0,1,0.2,0.2,0.0,1,1,13,18,72.2,2,11,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,
3,37,Eliot Matazo,Monaco,8.0,be BEL,DM,22-250,4,0,0,0,0,1,0,0,0,5,0,0,0,0.3,0.3,0.0,0,0,2,2,100.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
3,37,George Ilenikhena,Monaco,21.0,fr FRA,FW,18-067,14,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
3,37,Krépin Diatta,Monaco,27.0,sn SEN,LB,25-240,14,0,0,0,0,0,0,0,0,17,1,0,1,0.0,0.0,0.3,3,0,12,15,80.0,1,8,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,
3,37,Lamine Camara,Monaco,15.0,sn SEN,DM,20-295,76,0,0,0,0,1,0,0,0,63,1,1,2,0.0,0.0,0.1,4,0,42,52,80.8,4,20,0,1,1,0,1,5,0,2,0,0,0,0,2,1,4,20.0
3,37,Maghnes Akliouche,Monaco,11.0,fr FRA,RW,22-240,90,1,0,0,0,6,2,0,0,67,1,0,0,0.5,0.5,0.5,7,1,43,50,86.0,7,43,6,5,1,0,2,0,0,3,0,0,0,0,3,0,1,0.0
3,37,Radosław Majecki,Monaco,1.0,pl POL,GK,24-341,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,20,22,90.9,0,13,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,100.0
3,37,Soungoutou Magassa,Monaco,88.0,fr FRA,DM,21-014,14,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,2,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
3,37,Takumi Minamino,Monaco,18.0,jp JPN,AM,29-280,90,2,1,0,0,3,2,0,0,35,1,0,0,0.9,0.9,0.1,4,1,20,27,74.1,5,20,2,0,0,0,3,1,0,0,0,0,0,0,5,1,0,100.0
