MD,Match_ID,Player,Squad,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2,19,Alexander Nübel,Stuttgart,33.0,de GER,GK,28-001,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,28,39,71.8,0,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
2,19,Angelo Stiller,Stuttgart,6.0,de GER,DM,23-180,90,0,0,0,0,3,2,0,0,131,2,2,3,0.3,0.3,0.1,8,0,102,116,87.9,18,90,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
2,19,Anrie Chase,Stuttgart,45.0,jp JPN,RB,20-191,29,0,0,0,0,1,0,0,0,15,1,0,0,0.1,0.1,0.0,1,0,11,11,100.0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,100.0
2,19,Anthony Rouault,Stuttgart,29.0,fr FRA,CB,23-125,90,0,0,0,0,2,1,0,0,91,2,2,1,0.0,0.0,0.0,0,0,71,77,92.2,10,62,0,0,0,0,1,0,0,0,0,0,0,0,7,2,1,66.7
2,19,Atakan Karazor,Stuttgart,16.0,,DM,27-354,75,0,0,0,0,0,0,0,0,80,1,1,0,0.0,0.0,0.0,3,0,74,75,98.7,5,67,1,1,1,0,2,4,0,0,1,0,0,0,7,2,0,100.0
2,19,Chris Führich,Stuttgart,27.0,de GER,LW,26-266,29,0,0,0,0,1,0,0,0,48,0,0,0,0.0,0.0,0.1,2,0,40,45,88.9,4,29,4,1,0,0,0,1,0,5,0,0,0,0,1,0,0,
2,19,Deniz Undav,Stuttgart,26.0,de GER,"AM,FW",28-074,90,0,0,0,0,3,1,0,0,38,1,0,0,0.2,0.2,0.0,4,0,17,29,58.6,2,27,3,0,0,0,2,3,3,1,1,0,0,0,2,2,2,50.0
2,19,El Bilal Touré,Stuttgart,10.0,ml MLI,DM,22-364,15,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0
2,19,Enzo Millot,Stuttgart,8.0,fr FRA,"RW,AM",22-076,90,1,0,0,0,5,3,0,0,80,0,1,2,0.6,0.6,0.6,7,0,54,63,85.7,12,49,4,3,1,0,0,0,0,3,0,0,0,0,5,0,1,0.0
2,19,Ermedin Demirović,Stuttgart,9.0,ba BIH,FW,26-190,61,0,0,0,0,2,1,0,0,18,1,0,1,0.1,0.1,0.3,3,0,8,11,72.7,0,9,2,2,1,0,0,0,0,1,0,0,0,0,2,0,3,0.0
